p=120,Run1,Run1,Run1,Run2,Run2,Run2
z=2,#sol searched,sol,f(sol),#sol searched,sol,f(sol)
(0.4 -0.5),360,1.4625 0.5625,-101.492,360,1.4625 0.5625,-101.492
(-0.5 0.3),240,-0.9 -0.1,149.587,240,-0.9 -0.1,149.587
(1 -2),240,-1 0,278,240,-1 0,278
(0 0),480,-0.496511 -0.496511,38.1134,480,-0.496511 -0.496511,38.1134

