p=30,Run1,Run1,Run1,Run2,Run2,Run2
z=0.1,#sol searched,sol,f(sol),#sol searched,sol,f(sol)
(0.4 -0.5),1470,-0.0439566 -0.943957,319.42,1470,-0.0439566 -0.943957,319.42
(-0.5 0.3),960,-0.902725 -0.102725,149.43,960,-0.902725 -0.102725,149.43
(1 -2),90,0.9025 -1.8975,8478.89,90,0.9025 -1.8975,8478.89
(0 0),2490,-0.496299 -0.496299,38.1132,2490,-0.496299 -0.496299,38.1132

