p=30,Run1,Run1,Run1,Run2,Run2,Run2
z=0.03,#sol searched,sol,f(sol),#sol searched,sol,f(sol)
(0.4 -0.5),212700,0.116688 -0.783312,1022.28,124290,0.132805 -0.767196,1127.73
(-0.5 0.3),212700,-0.783312 0.0166883,443.234,124290,-0.767196 0.0328048,525.048
(1 -2),90,0.9725 -1.9675,10123.9,90,0.9725 -1.9675,10123.9
(0 0),212700,-0.283312 -0.283312,200.286,124290,-0.267195 -0.267195,220.508

